,weight
AAPL,0.03056863782511011
AMGN,0.03698979567638036
AMZN,0.032825560428429976
AXP,0.025691739054989383
BA,0.019109229912473758
CAT,0.029368463580882628
CRM,0.02856624402509335
CSCO,0.03227122289078665
CVX,0.026240548831068473
DIS,0.03196701104536663
GS,0.028243244001221728
HD,0.032751468748017064
HON,0.0341206564076398
IBM,0.03479959572706755
JNJ,0.043162520625515524
JPM,0.029325755551650273
KO,0.042867082509399426
MCD,0.03576402541476469
MMM,0.034743446353157736
MRK,0.0428940782373414
MSFT,0.03248989865225837
NKE,0.03254243433889953
NVDA,0.02043959350559378
PG,0.040720045718157856
SHW,0.032496199564750514
TRV,0.032521797463150606
UNH,0.029309129699546202
V,0.03279802682032993
VZ,0.050101804624501596
WMT,0.04431074276645489
