,weight
AAPL,0.01712551328459049
AMGN,0.016414477865238076
AMZN,0.031087831666569025
AXP,0.0073772338418559855
BA,0.020728244224672673
CAT,0.005187656921877297
CRM,0.0548483649525158
CSCO,0.019413217552015662
CVX,0.015836316851275338
DIS,0.04249249078861629
GS,0.0029480039319379554
HD,0.027454812657681668
HON,0.028561425737295077
IBM,0.019845182913218264
JNJ,0.031145862017206156
JPM,0.004103561975511877
KO,0.01758491792616383
MCD,0.027694406767299583
MMM,0.0207112955000479
MRK,0.09354661707414509
MSFT,0.024356019508077396
NKE,0.08634722058456834
NVDA,0.014541655914488466
PG,0.019620972030382343
SHW,0.033363512696290724
TRV,0.02183212697954027
UNH,0.04784437640032511
V,0.04503351108636994
VZ,0.11437594933522542
WMT,0.08857722101499792
