,weight
AAPL,0.0
AMGN,0.0
AMZN,1.2055473348028584e-16
AXP,0.0
BA,6.078199966785207e-17
CAT,7.581819962712918e-18
CRM,5.713140314235115e-17
CSCO,0.1261051071517789
CVX,0.12626378328165974
DIS,0.0
GS,0.06189543751928584
HD,0.23803002261516046
HON,0.0
IBM,0.0
JNJ,0.0
JPM,1.5706711569327416e-17
KO,0.0
MCD,0.03823641299653095
MMM,0.0
MRK,1.500534522749171e-17
MSFT,0.060842738835928445
NKE,0.0
NVDA,0.10566606458025678
PG,0.029216062639526853
SHW,0.04294616146686852
TRV,0.0
UNH,0.17079820891300368
V,6.65708813278577e-17
VZ,0.0
WMT,1.8754362997881555e-17
