,weight
AAPL,3.0700698669894043e-16
ABBV,3.515644015122218e-17
ABT,3.0135954030638126e-18
ACN,0.0
ADBE,1.0149193025001442e-16
ADI,5.165553727725498e-19
ADP,4.997748865910008e-17
AMAT,1.4937070116460546e-17
AMD,0.029507524552096147
AMGN,0.0
AMZN,2.605332192611937e-16
ANET,2.858857854474916e-16
AVGO,0.0
AXP,0.0
BA,0.034532692110699016
BAC,0.0
BKNG,5.3630965223459446e-17
BLK,0.0
BMY,1.2239836715455624e-17
BRK-B,3.504406991086418e-17
BSX,0.0
C,0.0
CAT,0.0
CB,0.0
COP,0.0
COST,0.0
CRM,0.0
CSCO,0.0
CVX,0.0
DE,2.2751038743586907e-17
DHR,4.490956307124087e-17
DIS,1.7933468530272006e-17
DUK,0.0
ELV,0.023190631820870486
ETN,0.0
GE,1.6131577165690747e-16
GILD,4.846557533481726e-17
GOOG,1.4419800002072283e-16
GS,7.649386009407505e-18
HD,1.217614962999239e-16
HON,0.0
IBM,0.0
ICE,0.0
INTU,0.0
ISRG,3.158500970030191e-17
JNJ,0.0
JPM,0.0
KLAC,0.0
KO,1.6225231424116306e-17
LIN,4.8303995238593735e-17
LLY,0.043511469891142456
LMT,0.0
LOW,5.4956668995498036e-17
LRCX,0.0
MA,0.08951698768117675
MCD,0.06713782100843724
MDLZ,0.0
MDT,3.4974478239125523e-17
META,8.75011205067778e-18
MO,2.99670918324582e-17
MRK,5.217260438468475e-17
MSFT,1.650385244364395e-16
MU,0.0
NEE,0.31808648889087676
NFLX,0.0
NKE,9.461215765364218e-17
NOW,0.04764245681486187
NVDA,8.803006867944747e-17
ORCL,0.0
PANW,0.00578516541045527
PEP,0.0
PFE,0.0
PG,0.0
PGR,0.20876547746956864
PLD,0.0
PM,0.0
QCOM,0.0
RTX,1.9688270074908234e-17
SBUX,0.0
SCHW,0.0
SO,0.0
SPGI,2.194189494373621e-17
SYK,0.0
T,4.179957805889944e-17
TJX,0.002434226236568733
TMO,8.411084178386879e-17
TSLA,0.0
TXN,0.0
UBER,0.0
UNH,0.0
UNP,0.006474856288258456
UPS,1.257663652442723e-17
V,0.0
VRTX,7.279823691904292e-17
VZ,0.0
WFC,1.1812031651214294e-16
WM,0.12341420182498762
WMT,0.0
XOM,0.0
