,weight
AAPL,0.002338554307329462
ABBV,0.04474266371530367
ABT,0.002338554307329462
ACN,0.002338554307329462
ADBE,0.002338554307329462
ADI,0.009218983521153749
ADP,0.002338554307329462
AMAT,0.009218983521153749
AMD,0.015024817540815213
AMGN,0.008612400225866233
AMZN,0.015024817540815213
ANET,0.015024817540815213
AVGO,0.009218983521153749
AXP,0.002338554307329462
BA,0.03705418666398635
BAC,0.002338554307329462
BKNG,0.002338554307329462
BLK,0.002338554307329462
BMY,0.04474266371530367
BRK-B,0.002338554307329462
BSX,0.002338554307329462
C,0.002338554307329462
CAT,0.002338554307329462
CB,0.002338554307329462
COP,0.002338554307329462
COST,0.008612400225866233
CRM,0.002338554307329462
CSCO,0.002338554307329462
CVX,0.002338554307329462
DE,0.002338554307329462
DHR,0.002338554307329462
DIS,0.002338554307329462
DUK,0.008612400225866233
ELV,0.002338554307329462
ETN,0.002338554307329462
GE,0.03705418666398635
GILD,0.11403391182489366
GOOG,0.002338554307329462
GS,0.002338554307329462
HD,0.002338554307329462
HON,0.002338554307329462
IBM,0.002338554307329462
ICE,0.002338554307329462
INTU,0.002338554307329462
ISRG,0.002338554307329462
JNJ,0.008612400225866233
JPM,0.002338554307329462
KLAC,0.009218983521153749
KO,0.008612400225866233
LIN,0.002338554307329462
LLY,0.008612400225866233
LMT,0.008612400225866233
LOW,0.002338554307329462
LRCX,0.009218983521153749
MA,0.002338554307329462
MCD,0.002338554307329462
MDLZ,0.008612400225866233
MDT,0.002338554307329462
META,0.015024817540815213
MO,0.061961932592212776
MRK,0.008612400225866233
MSFT,0.002338554307329462
MU,0.009218983521153749
NEE,0.008612400225866233
NFLX,0.015024817540815213
NKE,0.002338554307329462
NOW,0.015024817540815213
NVDA,0.009218983521153749
ORCL,0.002338554307329462
PANW,0.015024817540815213
PEP,0.008612400225866233
PFE,0.008612400225866233
PG,0.008612400225866233
PGR,0.008612400225866233
PLD,0.002338554307329462
PM,0.061961932592212776
QCOM,0.009218983521153749
RTX,0.002338554307329462
SBUX,0.002338554307329462
SCHW,0.002338554307329462
SO,0.008612400225866233
SPGI,0.002338554307329462
SYK,0.002338554307329462
T,0.008612400225866233
TJX,0.002338554307329462
TMO,0.002338554307329462
TSLA,0.03438165896981674
TXN,0.009218983521153749
UBER,0.03438165896981674
UNH,0.002338554307329462
UNP,0.002338554307329462
UPS,0.009218983521153749
V,0.002338554307329462
VRTX,0.04474266371530367
VZ,0.008612400225866233
WFC,0.002338554307329462
WM,0.008612400225866233
WMT,0.008612400225866233
XOM,0.002338554307329462
