,weight
AAPL,0.009565290512743768
ABBV,0.012584549800618343
ABT,0.011362971348664373
ACN,0.010976063223577285
ADBE,0.00901670728927467
ADI,0.008899606697487447
ADP,0.010445823551489885
AMAT,0.006903523849926728
AMD,0.006832869493406687
AMGN,0.011726012610867715
AMZN,0.011151966448377643
ANET,0.008513357422276229
AVGO,0.008646761888330516
AXP,0.007238372980248133
BA,0.0053598071412668934
BAC,0.007921646200510878
BKNG,0.00818406993215462
BLK,0.009583836599619687
BMY,0.014470573399775888
BRK-B,0.01327350492278195
BSX,0.010129693367426916
C,0.007029659155680706
CAT,0.009818238023543082
CB,0.009421569342359933
COP,0.00626071124923404
COST,0.01458317994930419
CRM,0.008457262665754778
CSCO,0.010994708326444629
CVX,0.007697564446082445
DE,0.009303482244870436
DHR,0.012378054069797204
DIS,0.009221518772775347
DUK,0.011408060999947643
ELV,0.008435023719443678
ETN,0.009035459457781407
GE,0.007158467672098477
GILD,0.01203630206149179
GOOG,0.011253038635741406
GS,0.008739679766611719
HD,0.010568641427085346
HON,0.01032188366649417
IBM,0.010820084727149118
ICE,0.012114068706867199
INTU,0.009088214461188727
ISRG,0.009503889134182725
JNJ,0.015093451306045136
JPM,0.008674269500335499
KLAC,0.006964440985228094
KO,0.013394123525010463
LIN,0.011682346420507458
LLY,0.00954752963684503
LMT,0.011106309398205512
LOW,0.00901653648912137
LRCX,0.00666223381493872
MA,0.008955663793289156
MCD,0.011816130363369438
MDLZ,0.013518261626200585
MDT,0.010953878852800284
META,0.009286155876289883
MO,0.012058340922126971
MRK,0.012806840465722962
MSFT,0.010413743549822852
MU,0.0072518490442441555
NEE,0.010781363214229048
NFLX,0.00901017183772159
NKE,0.010123708125256495
NOW,0.008270824160737811
NVDA,0.006918660162576829
ORCL,0.010130737110007752
PANW,0.009101727070087245
PEP,0.01285747833538765
PFE,0.011444866114690526
PG,0.014270908958135256
PGR,0.012022127338231305
PLD,0.010138255606978636
PLTR,0.0058282854534074564
PM,0.011828535622082303
QCOM,0.008055213269035265
RTX,0.00818769599730183
SBUX,0.009978662065766792
SCHW,0.008255392152120171
SO,0.010399317796179128
SPGI,0.00990934891607604
SYK,0.009495975855901312
T,0.01250120662962502
TJX,0.00883224535725594
TMO,0.011483593348231399
TSLA,0.004820394771955355
TXN,0.010000975956240103
UBER,0.005741769882996936
UNH,0.009795605323839449
UNP,0.010862062571108638
UPS,0.010556698373776293
V,0.010335566336861293
VRTX,0.009565913918941623
VZ,0.017841513690486154
WFC,0.007238497517746656
WM,0.013213723037295413
WMT,0.014200829186236857
XOM,0.008362272002632535
