,weight
AAPL,0.0031234008408104973
ABBV,0.0077780331198415995
ABT,0.011308800071572835
ACN,0.0006249661915192391
ADBE,0.0005160258866397708
ADI,0.0013549562168035378
ADP,0.0005628597772930828
AMAT,0.0004283792949571753
AMD,0.003955753109424821
AMGN,0.0019076730442508082
AMZN,0.012735019506746104
ANET,0.022914389481010364
AVGO,0.0023674139978280733
AXP,0.0015445629715632797
BA,0.005399537048584089
BAC,0.00022751337695433256
BKNG,0.01169143524891757
BLK,0.0008135105350434607
BMY,0.002349546193146656
BRK-B,0.004767378284395199
BSX,0.002711014321251012
C,0.00035076949246796204
CAT,0.003951816411782356
CB,0.001916960403724908
COP,0.003096195131990676
COST,0.021314901026959054
CRM,0.008112329732220237
CSCO,0.006296720282114551
CVX,0.004860152958146439
DE,0.0036742172855797803
DHR,0.007263652696245847
DIS,0.014762836677799486
DUK,0.0012365262674432355
ELV,0.018762195527030057
ETN,0.00114249874783843
GE,0.007908956717924803
GILD,0.08703003376084942
GOOG,0.0023755673012850363
GS,0.0009861313393964468
HD,0.006208709552126557
HON,0.001526329930002856
IBM,0.0014094151929530726
ICE,0.0023426876935921915
INTU,0.0009426105314259182
ISRG,0.004138299120686188
JNJ,0.0031478825505884362
JPM,0.0002798413715883586
KLAC,0.0008709208826055024
KO,0.005112997228378107
LIN,0.00200380328265889
LLY,0.0036097036504526376
LMT,0.002530997211285483
LOW,0.004251373018873424
LRCX,0.00039827444408597074
MA,0.0011327298165192481
MCD,0.0022614682831776606
MDLZ,0.0016552684225028351
MDT,0.001909749429137651
META,0.005085775515003857
MO,0.004218644335877473
MRK,0.00232252238689315
MSFT,0.000695902405198143
MU,0.0015202777715041158
NEE,0.0020177351348061486
NFLX,0.12963404777926751
NKE,0.010071415754457889
NOW,0.0068594774055099495
NVDA,0.004761256140490476
ORCL,0.005913442365973293
PANW,0.031318418171614876
PEP,0.0015586341296674544
PFE,0.012514703690213305
PG,0.0032125039691054897
PGR,0.015873120894810803
PLD,0.009767661592159266
PLTR,0.14946996494082726
PM,0.0041289256879392545
QCOM,0.006070374756836514
RTX,0.0017578924217613338
SBUX,0.0015821744937004674
SCHW,0.005284294890619
SO,0.0010230465629297845
SPGI,0.0015701943148234278
SYK,0.0013882778860317769
T,0.0018789755723245332
TJX,0.0016397265225644097
TMO,0.006190979451669949
TSLA,0.03069081842608865
TXN,0.001681948697121864
UBER,0.04515325222207093
UNH,0.02515791622224659
UNP,0.004796471831027082
UPS,0.028105784869804872
V,0.0015178726061271844
VRTX,0.021675456334887128
VZ,0.03384042355187822
WFC,0.0013772097427470818
WM,0.005287912476367319
WMT,0.021113764520437634
XOM,0.010413109662621487
