,weight
AAPL,4.980035018507849e-17
AMGN,0.0
AMZN,0.0
AXP,1.0987541710837599e-16
BA,0.0
CAT,8.212975396009353e-17
CRM,0.0
CSCO,1.5997663599464166e-17
CVX,0.0
DIS,0.1478376592678829
GS,0.0
HD,0.0
HON,4.737878763031355e-16
IBM,0.0
JNJ,4.045937301499157e-17
JPM,0.0
KO,0.0
MCD,0.17686969192656976
MMM,2.598916261584571e-16
MRK,0.26017980950115405
MSFT,2.0542073355866106e-16
NKE,3.1254466595775258e-18
NVDA,6.072368707286995e-17
PG,0.380135522453659
SHW,3.810123328983559e-17
TRV,3.6285194650922365e-17
UNH,0.0
V,0.0
VZ,0.0
WMT,0.03497731685073394
