,weight
AAPL,0.03701929606749031
AMGN,0.05130229702865799
AMZN,0.03300333836455005
CRM,0.03542153306487771
CSCO,0.04716142817235102
CVX,0.047007052940868925
DIS,0.04707318274799717
HD,0.05070875753070835
HON,0.05808422034934045
JPM,0.048968889406861796
KO,0.06590958897786109
MCD,0.05798847368100721
MRK,0.05771455378037381
MSFT,0.047153528747908825
NKE,0.038882585110631265
NVDA,0.023674854763512474
PG,0.05525666771966145
UNH,0.04486662413881595
V,0.051602066746840175
VZ,0.053641454192733806
WMT,0.04755960646695006
