,weight
AAPL,0.017595576684767623
AMGN,0.0146778872282445
AMZN,0.004353839124513059
AXP,0.01193997031904569
BA,0.010383169872209483
CAT,0.001497876061122887
CRM,0.0029264507150650963
CSCO,0.01416669193026871
CVX,0.04835346207739434
DIS,0.057185720639763536
GS,0.004564569041115896
HD,0.01351994882066935
HON,0.004539343477885661
IBM,0.04739536866143624
JNJ,0.031140026523537267
JPM,0.006754288667399119
KO,0.09973058435558449
MCD,0.20335285521781113
MMM,0.003756694074616231
MRK,0.018781861794455654
MSFT,0.002340278452381934
NKE,0.03615510032394841
NVDA,0.010363305325422428
PG,0.07777798132862569
SHW,0.007345313959932503
TRV,0.02492673650212322
UNH,0.031835301008838884
V,0.0030828799285495577
VZ,0.08776106713577547
WMT,0.10179585074749589
