,weight
AAPL,0.014418850298917468
AMGN,0.08257017333695396
AMZN,0.21354277379274933
CRM,0.014418850298917468
CSCO,0.014418850298917468
CVX,0.014418850298917468
DIS,0.014418850298917468
HD,0.014418850298917468
HON,0.014418850298917468
JPM,0.014418850298917468
KO,0.014418850298917468
MCD,0.014418850298917468
MRK,0.08257017333695396
MSFT,0.014418850298917468
NKE,0.014418850298917468
NVDA,0.014418850298917468
PG,0.08257017333695396
UNH,0.014418850298917468
V,0.014418850298917468
VZ,0.08257017333695396
WMT,0.23989377837567288
