,weight
AAPL,0.0065821176993812545
ABBV,0.006104453295785371
ABT,0.004078753259111586
ACN,0.004615026726133562
ADBE,0.000735457265600456
AMD,0.0013465087646044515
AMGN,0.00667071580860883
AMZN,0.0006165861587964048
AVGO,0.013380868059597198
BAC,0.004096545368670835
BMY,0.01723749607337181
COST,0.028784784126059303
CRM,0.0006816967390939754
CSCO,0.0040032562512025876
CVX,0.004411177172225038
DHR,0.006069966146590042
DIS,0.03685296255166868
GOOG,0.003281966951526739
HD,0.007464319879997249
HON,0.011544276879555615
JPM,0.006035702724542735
KO,0.06588271299748
LIN,0.04122468292649881
LLY,0.01294488370190291
MA,0.0003179977633870153
MCD,0.04281578349578083
META,0.0446698673523545
MRK,0.005049790566735052
MSFT,0.0007050877476371592
NEE,0.13741381865512856
NFLX,0.0020326044707257656
NKE,0.01406379162837551
NVDA,0.0032875999856968497
ORCL,0.02763108710137231
PEP,0.059844310427164864
PFE,0.005869146363400684
PG,0.07409598533614767
PM,0.10600868649334728
TMO,0.0034109071372538133
TSLA,0.018645964001987106
TXN,0.015528534879901527
UNH,0.017490152296237443
UPS,0.010695583092669094
V,0.00046055836863100535
VZ,0.07698389069548729
WFC,0.011808963574162222
WMT,0.020840053140705066
XOM,0.0056829178977061
