,weight
AAPL,0.003853671278413556
ABBV,0.0049685752007449634
ABT,0.003853671278413556
ACN,0.003853671278413556
ADBE,0.003853671278413556
ADI,0.004834424567191649
ADP,0.003853671278413556
AMAT,0.004834424567191649
AMD,0.004834424567191649
AMGN,0.0049685752007449634
AMZN,0.003853671278413556
ANET,0.004834424567191649
AVGO,0.004834424567191649
AXP,0.011204749391865035
BA,0.003853671278413556
BAC,0.011204749391865035
BKNG,0.004834424567191649
BLK,0.011204749391865035
BMY,0.0049685752007449634
BRK-B,0.011204749391865035
BSX,0.003853671278413556
C,0.011204749391865035
CAT,0.003853671278413556
CB,0.0049685752007449634
COP,0.0049685752007449634
COST,0.0049685752007449634
CRM,0.003853671278413556
CSCO,0.003853671278413556
CVX,0.0049685752007449634
DE,0.003853671278413556
DHR,0.003853671278413556
DIS,0.0049685752007449634
DUK,0.04609530334720038
ELV,0.0049685752007449634
ETN,0.003853671278413556
GE,0.05091925841802955
GILD,0.0049685752007449634
GOOG,0.003853671278413556
GS,0.011204749391865035
HD,0.0049685752007449634
HON,0.003853671278413556
IBM,0.0049685752007449634
ICE,0.0049685752007449634
INTU,0.003853671278413556
ISRG,0.003853671278413556
JNJ,0.0049685752007449634
JPM,0.011204749391865035
KLAC,0.004834424567191649
KO,0.013238098665476313
LIN,0.0049685752007449634
LLY,0.0049685752007449634
LMT,0.0049685752007449634
LOW,0.0049685752007449634
LRCX,0.004834424567191649
MA,0.003853671278413556
MCD,0.013238098665476313
MDLZ,0.013238098665476313
MDT,0.003853671278413556
META,0.004834424567191649
MO,0.013238098665476313
MRK,0.0049685752007449634
MSFT,0.003853671278413556
MU,0.004834424567191649
NEE,0.04609530334720038
NFLX,0.004834424567191649
NKE,0.0049685752007449634
NOW,0.003853671278413556
NVDA,0.004834424567191649
ORCL,0.0049685752007449634
PANW,0.004834424567191649
PEP,0.013238098665476313
PFE,0.0049685752007449634
PG,0.013238098665476313
PGR,0.0049685752007449634
PLD,0.013238098665476313
PM,0.013238098665476313
QCOM,0.028126041955828646
RTX,0.003853671278413556
SBUX,0.013238098665476313
SCHW,0.011204749391865035
SO,0.04609530334720038
SPGI,0.003853671278413556
SYK,0.003853671278413556
T,0.013238098665476313
TJX,0.0049685752007449634
TMO,0.003853671278413556
TSLA,0.028126041955828646
TXN,0.004834424567191649
UBER,0.17418864526956623
UNH,0.0049685752007449634
UNP,0.0049685752007449634
UPS,0.0049685752007449634
V,0.003853671278413556
VRTX,0.004834424567191649
VZ,0.013238098665476313
WFC,0.011204749391865035
WM,0.0049685752007449634
WMT,0.013238098665476313
XOM,0.0049685752007449634
