,weight
AAPL,0.00977477786350402
ABBV,0.01082825999453618
ABT,0.011612071071698806
ACN,0.011376988354844042
ADBE,0.00896123817248953
ADI,0.008547212025062317
ADP,0.010646282745484795
AMAT,0.007096201268404689
AMD,0.005503516968274134
AMGN,0.01182803885543163
AMZN,0.010496462527007453
ANET,0.007296235621033021
AVGO,0.007926710799596996
AXP,0.008215316744776387
BA,0.006110461270983524
BAC,0.008519352260991115
BKNG,0.00956042297835271
BLK,0.009394416355344328
BMY,0.012435532415607025
BRK-B,0.01308794423968435
BSX,0.009881829797872724
C,0.007547905891106353
CAT,0.009391004248796665
CB,0.010646818330094203
COP,0.006984610680419188
COST,0.01398404044468013
CRM,0.009134482581051373
CSCO,0.010319204831624821
CVX,0.008390806855954513
DE,0.009241667887101162
DHR,0.012797609991990517
DIS,0.010221928556854583
DUK,0.011851364308587263
ELV,0.008457649196729896
ETN,0.009084281734106692
GE,0.006700807861384814
GILD,0.011216344160915355
GOOG,0.010938327399087696
GS,0.009031198506003119
HD,0.010472770607147842
HON,0.01091058878219487
IBM,0.011127689755688473
ICE,0.012191698428467214
INTU,0.009270522558925976
ISRG,0.009090115653013493
JNJ,0.013801859721624841
JPM,0.00937734771947656
KLAC,0.007245347372233916
KO,0.01370738897765617
LIN,0.011560821265932235
LLY,0.011994490272060225
LMT,0.01116979628666116
LOW,0.008862357418837225
LRCX,0.00676207526550645
MA,0.009301087431463097
MCD,0.01143608053241011
MDLZ,0.013306178119643887
MDT,0.011907680514340805
META,0.00906839951926377
MO,0.011358563858115288
MRK,0.01371602126429603
MSFT,0.010389129667816339
MU,0.0065943164083149
NEE,0.011745048680212984
NFLX,0.008182659987800996
NKE,0.010405928737168463
NOW,0.007765524196923511
NVDA,0.006535864871720988
ORCL,0.010751142943739146
PANW,0.009374934006720508
PEP,0.012430406778457354
PFE,0.013511437184001414
PG,0.013020841941467418
PGR,0.011539047223706678
PLD,0.010264371334492334
PM,0.010797920858725212
QCOM,0.008061304631760961
RTX,0.00889682399514572
SBUX,0.010153760580241344
SCHW,0.008601717237585732
SO,0.010379700054590576
SPGI,0.010020448379114068
SYK,0.009645280364187771
T,0.011988426639556692
TJX,0.00974792624454525
TMO,0.011751704723901878
TSLA,0.005068735030801553
TXN,0.009447369526851436
UBER,0.006612225110270053
UNH,0.009372031355298394
UNP,0.010337586988520777
UPS,0.011204576380932646
V,0.010487658245164785
VRTX,0.009509785779239064
VZ,0.016020799276927462
WFC,0.008744110407889452
WM,0.013404572994393236
WMT,0.01416902087646112
XOM,0.01038765323292393
