,weight
AAPL,2.09093856671043e-18
ABBV,0.0
ABT,0.05078484846493469
ACN,0.0
ADBE,0.0
AMD,0.0
AMGN,4.9061860865926145e-17
AMZN,1.0358370559603936e-16
AVGO,2.018460677621149e-17
BAC,0.07112776563864208
BMY,3.852024899220059e-18
COST,0.11317283970066216
CRM,3.6865187284298847e-17
CSCO,0.0432180710037495
CVX,0.0
DHR,0.05539122267888222
DIS,5.805785430164584e-17
GOOG,0.05605144496254317
HD,0.09766402622577697
HON,6.734991063214498e-17
JPM,0.0
KO,7.021941830316568e-17
LIN,2.3023574311992108e-17
LLY,0.0324545938334186
MA,0.0
MCD,0.04969815816313873
META,0.0
MRK,0.0
MSFT,0.11888476088731807
NEE,0.0
NFLX,0.0
NKE,6.69795319414798e-18
NVDA,0.029573114750070247
ORCL,1.4421690393224848e-17
PEP,2.0580572709916206e-17
PFE,0.13719277861694829
PG,4.8010900491429764e-17
PM,3.5485334043001935e-18
TMO,0.0034379172835548428
TSLA,0.0
TXN,8.285125953627749e-18
UNH,0.07967569962848987
UPS,0.0
V,5.845360069577256e-17
VZ,0.0
WFC,0.0
WMT,4.420770385109382e-17
XOM,0.061672758161870525
